(((1, 1), (2, 5), (8, 5)), 0)
(((2, 1), (3, 5), (7, 5)), 1)
(((3, 1), (4, 5), (6, 5)), 2)
(((4, 1), (5, 5), (6, 5)), 3)
(((5, 1), (5, 4), (6, 5)), 4)
(((6, 1), (5, 3), (6, 5)), 5)
(((6, 2), (6, 3), (6, 5)), 6)
(((6, 2), (7, 3), (5, 5)), 7)
(((6, 3), (7, 2), (4, 5)), 8)
(((5, 3), (6, 2), (4, 6)), 9)
(((5, 4), (6, 2), (3, 6)), 10)
(((5, 5), (6, 1), (2, 6)), 11)
(((6, 5), (6, 0), (1, 6)), 12)
(((6, 5), (7, 0), (1, 5)), 13)
(((6, 5), (8, 0), (1, 5)), 14)
(((6, 5), (9, 0), (1, 5)), 15)
(((6, 5), (8, 0), (1, 5)), 16)
(((7, 5), (7, 0), (1, 5)), 17)
(((7, 6), (6, 0), (1, 5)), 18)
(((7, 7), (6, 1), (1, 5)), 19)
(((7, 8), (6, 1), (1, 5)), 20)
